wavelength_A,throughput_smooth,throughput_std_smooth,throughput_mean_raw,n_configs
7720.0,0.29839,0.00675,0.29844,8
7725.0,0.29842,0.00664,0.29847,8
7730.0,0.29845,0.00654,0.29850,8
7735.0,0.29848,0.00643,0.29853,8
7740.0,0.29850,0.00633,0.29856,8
7745.0,0.29853,0.00623,0.29859,8
7750.0,0.29855,0.00613,0.29861,8
7755.0,0.29857,0.00604,0.29864,8
7760.0,0.29859,0.00595,0.29866,8
7765.0,0.29861,0.00587,0.29868,8
7770.0,0.29862,0.00579,0.29869,8
7775.0,0.29864,0.00572,0.29871,8
7780.0,0.29865,0.00566,0.29872,8
7785.0,0.29866,0.00561,0.29873,8
7790.0,0.29866,0.00556,0.29874,8
7795.0,0.29867,0.00553,0.29874,8
7800.0,0.29867,0.00550,0.29875,8
7805.0,0.29867,0.00549,0.29875,8
7810.0,0.29866,0.00548,0.29874,8
7815.0,0.29866,0.00549,0.29874,8
7820.0,0.29865,0.00551,0.29873,8
7825.0,0.29864,0.00554,0.29872,8
7830.0,0.29862,0.00559,0.29871,8
7835.0,0.29860,0.00564,0.29869,8
7840.0,0.29859,0.00570,0.29867,8
7845.0,0.29856,0.00578,0.29865,8
7850.0,0.29854,0.00587,0.29863,8
7855.0,0.29851,0.00597,0.29860,8
7860.0,0.29848,0.00607,0.29857,8
7865.0,0.29845,0.00619,0.29854,8
7870.0,0.29841,0.00632,0.29850,8
7875.0,0.29837,0.00645,0.29846,8
7880.0,0.29833,0.00659,0.29842,8
7885.0,0.29829,0.00674,0.29838,8
7890.0,0.29824,0.00689,0.29833,8
7895.0,0.29819,0.00705,0.29828,8
7900.0,0.29814,0.00721,0.29823,8
7905.0,0.29809,0.00738,0.29817,8
7910.0,0.29803,0.00755,0.29811,8
7915.0,0.29797,0.00772,0.29805,8
7920.0,0.29791,0.00789,0.29799,8
7925.0,0.29785,0.00807,0.29792,8
7930.0,0.29778,0.00824,0.29785,8
7935.0,0.29771,0.00842,0.29778,8
7940.0,0.29764,0.00859,0.29771,8
7945.0,0.29757,0.00876,0.29764,8
7950.0,0.29749,0.00893,0.29756,8
7955.0,0.29741,0.00910,0.29748,8
7960.0,0.29733,0.00926,0.29740,8
7965.0,0.29725,0.00942,0.29731,8
7970.0,0.29717,0.00958,0.29723,8
7975.0,0.29708,0.00973,0.29714,8
7980.0,0.29700,0.00988,0.29705,8
7985.0,0.29691,0.01002,0.29696,8
7990.0,0.29682,0.01016,0.29686,8
7995.0,0.29673,0.01030,0.29677,8
8000.0,0.29664,0.01043,0.29667,8
8005.0,0.29654,0.01055,0.29658,8
8010.0,0.29645,0.01067,0.29648,8
8015.0,0.29635,0.01078,0.29638,8
8020.0,0.29626,0.01089,0.29628,8
8025.0,0.29616,0.01099,0.29618,8
8030.0,0.29606,0.01109,0.29608,8
8035.0,0.29596,0.01118,0.29598,8
8040.0,0.29587,0.01126,0.29587,8
8045.0,0.29577,0.01134,0.29577,8
8050.0,0.29567,0.01141,0.29567,8
8055.0,0.29557,0.01148,0.29557,8
8060.0,0.29547,0.01154,0.29546,8
8065.0,0.29537,0.01160,0.29536,8
8070.0,0.29528,0.01166,0.29526,8
8075.0,0.29518,0.01170,0.29516,8
8080.0,0.29508,0.01175,0.29506,8
8085.0,0.29499,0.01179,0.29496,8
8090.0,0.29489,0.01182,0.29486,8
8095.0,0.29480,0.01186,0.29476,8
8100.0,0.29470,0.01189,0.29466,8
8105.0,0.29461,0.01191,0.29457,8
8110.0,0.29452,0.01193,0.29447,8
8115.0,0.29443,0.01195,0.29438,8
8120.0,0.29434,0.01197,0.29429,8
8125.0,0.29426,0.01199,0.29420,8
8130.0,0.29417,0.01200,0.29411,8
8135.0,0.29409,0.01201,0.29403,8
8140.0,0.29401,0.01202,0.29394,8
8145.0,0.29393,0.01203,0.29386,8
8150.0,0.29385,0.01204,0.29378,8
8155.0,0.29377,0.01205,0.29370,8
8160.0,0.29370,0.01205,0.29363,8
8165.0,0.29363,0.01206,0.29355,8
8170.0,0.29356,0.01207,0.29348,8
8175.0,0.29349,0.01208,0.29342,8
8180.0,0.29343,0.01209,0.29335,8
8185.0,0.29337,0.01209,0.29329,8
8190.0,0.29331,0.01211,0.29323,8
8195.0,0.29325,0.01212,0.29317,8
8200.0,0.29320,0.01213,0.29311,8
8205.0,0.29314,0.01214,0.29306,8
8210.0,0.29309,0.01216,0.29301,8
8215.0,0.29305,0.01217,0.29296,8
8220.0,0.29300,0.01219,0.29292,8
8225.0,0.29296,0.01221,0.29288,8
8230.0,0.29292,0.01223,0.29284,8
8235.0,0.29288,0.01225,0.29280,8
8240.0,0.29285,0.01227,0.29277,8
8245.0,0.29282,0.01229,0.29274,8
8250.0,0.29279,0.01231,0.29271,8
8255.0,0.29276,0.01233,0.29268,8
8260.0,0.29274,0.01236,0.29266,8
8265.0,0.29271,0.01238,0.29264,8
8270.0,0.29269,0.01240,0.29262,8
8275.0,0.29267,0.01243,0.29260,8
8280.0,0.29266,0.01245,0.29259,8
8285.0,0.29265,0.01247,0.29258,8
8290.0,0.29263,0.01249,0.29257,8
8295.0,0.29262,0.01251,0.29256,8
8300.0,0.29262,0.01253,0.29255,8
8305.0,0.29261,0.01254,0.29255,8
8310.0,0.29261,0.01256,0.29255,8
8315.0,0.29261,0.01257,0.29255,8
8320.0,0.29261,0.01258,0.29255,8
8325.0,0.29261,0.01259,0.29255,8
8330.0,0.29261,0.01259,0.29256,8
8335.0,0.29262,0.01259,0.29257,8
8340.0,0.29263,0.01258,0.29257,8
8345.0,0.29264,0.01258,0.29258,8
8350.0,0.29265,0.01257,0.29260,8
8355.0,0.29266,0.01255,0.29261,8
8360.0,0.29267,0.01253,0.29262,8
8365.0,0.29269,0.01251,0.29264,8
8370.0,0.29271,0.01248,0.29266,8
8375.0,0.29273,0.01245,0.29268,8
8380.0,0.29275,0.01241,0.29270,8
8385.0,0.29277,0.01237,0.29272,8
8390.0,0.29280,0.01232,0.29274,8
8395.0,0.29282,0.01227,0.29277,8
8400.0,0.29285,0.01221,0.29279,8
8405.0,0.29288,0.01215,0.29282,8
8410.0,0.29292,0.01209,0.29285,8
8415.0,0.29295,0.01202,0.29288,8
8420.0,0.29299,0.01195,0.29292,8
8425.0,0.29303,0.01187,0.29295,8
8430.0,0.29307,0.01179,0.29299,8
8435.0,0.29312,0.01170,0.29303,8
8440.0,0.29316,0.01161,0.29308,8
8445.0,0.29321,0.01152,0.29312,8
8450.0,0.29327,0.01143,0.29317,8
8455.0,0.29333,0.01133,0.29322,8
8460.0,0.29339,0.01123,0.29327,8
8465.0,0.29345,0.01113,0.29333,8
8470.0,0.29352,0.01103,0.29339,8
8475.0,0.29359,0.01092,0.29346,8
8480.0,0.29367,0.01082,0.29353,8
8485.0,0.29375,0.01071,0.29360,8
8490.0,0.29383,0.01060,0.29368,8
8495.0,0.29392,0.01050,0.29376,8
8500.0,0.29402,0.01039,0.29385,8
8505.0,0.29412,0.01028,0.29394,8
8510.0,0.29423,0.01018,0.29404,8
8515.0,0.29434,0.01008,0.29414,8
8520.0,0.29446,0.00997,0.29425,8
8525.0,0.29458,0.00988,0.29437,8
8530.0,0.29471,0.00978,0.29449,8
8535.0,0.29485,0.00969,0.29462,8
8540.0,0.29500,0.00960,0.29476,8
8545.0,0.29515,0.00951,0.29490,8
8550.0,0.29531,0.00943,0.29506,8
8555.0,0.29548,0.00936,0.29522,8
8560.0,0.29566,0.00929,0.29539,8
8565.0,0.29584,0.00922,0.29556,8
8570.0,0.29604,0.00917,0.29575,8
8575.0,0.29624,0.00911,0.29595,8
8580.0,0.29645,0.00907,0.29615,8
8585.0,0.29667,0.00903,0.29637,8
8590.0,0.29690,0.00899,0.29659,8
8595.0,0.29714,0.00897,0.29683,8
8600.0,0.29739,0.00895,0.29708,8
8605.0,0.29765,0.00894,0.29733,8
8610.0,0.29792,0.00894,0.29760,8
8615.0,0.29819,0.00894,0.29788,8
8620.0,0.29848,0.00895,0.29816,8
8625.0,0.29878,0.00897,0.29846,8
8630.0,0.29908,0.00900,0.29877,8
