grating,cw,slicer,night,setup,star,npix,disp,blue_px,red_px,blue_A,red_A,fitcut_blue_A,fitcut_red_A,par_blue,par_red,par_ok,deliv_lo,deliv_hi,sens_lo,sens_hi,fit_lo,fit_hi,tag
RM2,8850,Small,2024-12-24,A,feige34,4625,0.48828125,510,470,248.6554844268867,229.14713981371824,0.0,0.0,509,469,True,7778.2880859375,10035.34375,8026.943570364387,9806.196610186282,8026.943570364387,9806.196610186282,feige34_2024-12-24_A
RM2,8900,Medium,2024-01-04,B,feige34,2299,0.9755859375,252,233,244.81427031193653,226.50708416047928,0.0,0.0,251,232,True,7835.8203125,10076.99609375,8080.6345828119365,9850.48900958952,8080.6345828119365,9850.48900958952,feige34_2024-01-04_B
RM2,8900,Medium,2024-04-30,B,feige34,2298,0.9755859375,251,233,244.08953203583496,226.46973406184043,0.0,0.0,250,232,True,7834.60595703125,10075.3828125,8078.695489067085,9848.91307843816,8078.695489067085,9848.91307843816,feige34_2024-04-30_B
RM2,8950,Medium,2024-06-11,B,feige34,2294,0.974609375,248,234,240.91677085025913,227.12956548638795,0.0,0.0,247,233,True,7888.9970703125,10123.6943359375,8129.913841162759,9896.564770451112,8129.913841162759,9896.564770451112,feige34_2024-06-11_B
RM2,8950,Medium,2025-01-01,B,feige34,2295,0.97509765625,249,233,241.84258430405498,226.32948438954554,0.0,0.0,248,232,True,7887.4208984375,10124.2138671875,8129.263482741555,9897.884382797954,8129.263482741555,9897.884382797954,feige34_2025-01-01_B
RM2,8950,Medium,2025-01-02,B,feige34,2294,0.9755859375,248,233,240.96125894392026,226.27675001454554,0.0,0.0,247,232,True,7888.08544921875,10124.1611328125,8129.04670816267,9897.884382797954,8129.04670816267,9897.884382797954,feige34_2025-01-02_B
RH1,6140,Large,2023-11-17,B,feige34,2183,0.30859375,139,136,42.5900331079838,41.81242332776583,0.0,0.0,138,135,True,5797.39404296875,6470.73388671875,5839.984076076734,6428.921463390984,5839.984076076734,6428.921463390984,feige34_2023-11-17_B
RH1,6200,Large,2023-09-16,B,g191b2b,2180,0.3056640625,136,133,41.341896447499494,40.45012283647793,0.0,0.0,135,132,True,5860.953125,6526.7138671875,5902.2950214474995,6486.263744351022,5902.2950214474995,6486.263744351022,g191b2b_2023-09-16_B
RH1,6520,Large,2023-10-15,B,g191b2b,2172,0.2890625,126,127,36.160028174921536,36.55192782693484,0.0,0.0,125,126,True,6196.109375,6823.44140625,6232.2694031749215,6786.889478423065,6232.2694031749215,6786.889478423065,G191B2b_2023-10-15_B_v1
RH1,6520,Large,2023-10-15,B,g191b2b,2172,0.2890625,126,127,36.167352393671536,36.54411532693484,0.0,0.0,125,126,True,6196.10205078125,6823.43359375,6232.2694031749215,6786.889478423065,6232.2694031749215,6786.889478423065,G191B2b_2023-10-15_B_v2
