grating,wavelength_A,composite_pct,sd_pct,n_blazes,n_effective
RL,6202,23.944,0.710,3,3.00
RL,6203,23.950,0.711,3,3.00
RL,6204,23.956,0.712,3,3.00
RL,6205,23.961,0.713,3,3.00
RL,6206,23.967,0.714,3,3.00
RL,6207,23.973,0.715,3,3.00
RL,6208,23.979,0.717,3,3.00
RL,6209,23.985,0.718,3,3.00
RL,6210,23.990,0.719,3,3.00
RL,6211,23.996,0.720,3,3.00
RL,6212,24.002,0.721,3,3.00
RL,6213,24.008,0.722,3,3.00
RL,6214,24.014,0.723,3,3.00
RL,6215,24.019,0.725,3,3.00
RL,6216,24.025,0.726,3,3.00
RL,6217,24.031,0.727,3,3.00
RL,6218,24.037,0.728,3,3.00
RL,6219,24.042,0.729,3,3.00
RL,6220,24.048,0.730,3,3.00
RL,6221,24.054,0.731,3,3.00
RL,6222,24.060,0.733,3,3.00
RL,6223,24.065,0.734,3,3.00
RL,6224,24.071,0.735,3,3.00
RL,6225,24.077,0.736,3,3.00
RL,6226,24.083,0.737,3,3.00
RL,6227,24.089,0.738,3,3.00
RL,6228,24.094,0.739,3,3.00
RL,6229,24.100,0.741,3,3.00
RL,6230,24.106,0.742,3,3.00
RL,6231,24.112,0.743,3,3.00
RL,6232,24.117,0.744,3,3.00
RL,6233,24.123,0.745,3,3.00
RL,6234,24.129,0.746,3,3.00
RL,6235,24.135,0.748,3,3.00
RL,6236,24.140,0.749,3,3.00
RL,6237,24.146,0.750,3,3.00
RL,6238,24.152,0.751,3,3.00
RL,6239,24.157,0.752,3,3.00
RL,6240,24.163,0.753,3,3.00
RL,6241,24.169,0.754,3,3.00
RL,6242,24.175,0.756,3,3.00
RL,6243,24.180,0.757,3,3.00
RL,6244,24.186,0.758,3,3.00
RL,6245,24.192,0.759,3,3.00
RL,6246,24.198,0.760,3,3.00
RL,6247,24.203,0.762,3,3.00
RL,6248,24.209,0.763,3,3.00
RL,6249,24.215,0.764,3,3.00
RL,6250,24.220,0.765,3,3.00
RL,6251,24.226,0.766,3,3.00
RL,6252,24.232,0.767,3,3.00
RL,6253,24.238,0.769,3,3.00
RL,6254,24.243,0.770,3,3.00
RL,6255,24.249,0.771,3,3.00
RL,6256,24.255,0.772,3,3.00
RL,6257,24.260,0.773,3,3.00
RL,6258,24.266,0.774,3,3.00
RL,6259,24.272,0.776,3,3.00
RL,6260,24.277,0.777,3,3.00
RL,6261,24.283,0.778,3,3.00
RL,6262,24.289,0.779,3,3.00
RL,6263,24.295,0.780,3,3.00
RL,6264,24.300,0.782,3,3.00
RL,6265,24.306,0.783,3,3.00
RL,6266,24.312,0.784,3,3.00
RL,6267,24.317,0.785,3,3.00
RL,6268,24.323,0.786,3,3.00
